Original Name -> Feature Index
==================================================
_STATE                         -> feature_0
FMONTH                         -> feature_1
IDATE                         -> feature_2
IMONTH                        -> feature_3
IDAY                          -> feature_4
IYEAR                         -> feature_5
DISPCODE                      -> feature_6
SEQNO                         -> feature_7
_PSU                          -> feature_8
CTELENUM                      -> feature_9
PVTRESD1                      -> feature_10
COLGHOUS                      -> feature_11
STATERES                      -> feature_12
CELLFON3                      -> feature_13
LADULT                        -> feature_14
NUMADULT                      -> feature_15
NUMMEN                        -> feature_16
NUMWOMEN                      -> feature_17
CTELNUM1                      -> feature_18
CELLFON2                      -> feature_19
CADULT                        -> feature_20
PVTRESD2                      -> feature_21
CCLGHOUS                      -> feature_22
CSTATE                        -> feature_23
LANDLINE                      -> feature_24
HHADULT                       -> feature_25
GENHLTH                       -> feature_26
PHYSHLTH                      -> feature_27
MENTHLTH                      -> feature_28
POORHLTH                      -> feature_29
HLTHPLN1                      -> feature_30
PERSDOC2                      -> feature_31
MEDCOST                       -> feature_32
CHECKUP1                      -> feature_33
BPHIGH4                       -> feature_34
BPMEDS                        -> feature_35
BLOODCHO                      -> feature_36
CHOLCHK                       -> feature_37
TOLDHI2                       -> feature_38
CVDSTRK3                      -> feature_39
ASTHMA3                       -> feature_40
ASTHNOW                       -> feature_41
CHCSCNCR                      -> feature_42
CHCOCNCR                      -> feature_43
CHCCOPD1                      -> feature_44
HAVARTH3                      -> feature_45
ADDEPEV2                      -> feature_46
CHCKIDNY                      -> feature_47
DIABETE3                      -> feature_48
DIABAGE2                      -> feature_49
SEX                           -> feature_50
MARITAL                       -> feature_51
EDUCA                         -> feature_52
RENTHOM1                      -> feature_53
NUMHHOL2                      -> feature_54
NUMPHON2                      -> feature_55
CPDEMO1                       -> feature_56
VETERAN3                      -> feature_57
EMPLOY1                       -> feature_58
CHILDREN                      -> feature_59
INCOME2                       -> feature_60
INTERNET                      -> feature_61
WEIGHT2                       -> feature_62
HEIGHT3                       -> feature_63
PREGNANT                      -> feature_64
QLACTLM2                      -> feature_65
USEEQUIP                      -> feature_66
BLIND                         -> feature_67
DECIDE                        -> feature_68
DIFFWALK                      -> feature_69
DIFFDRES                      -> feature_70
DIFFALON                      -> feature_71
SMOKE100                      -> feature_72
SMOKDAY2                      -> feature_73
STOPSMK2                      -> feature_74
LASTSMK2                      -> feature_75
USENOW3                       -> feature_76
ALCDAY5                       -> feature_77
AVEDRNK2                      -> feature_78
DRNK3GE5                      -> feature_79
MAXDRNKS                      -> feature_80
FRUITJU1                      -> feature_81
FRUIT1                        -> feature_82
FVBEANS                       -> feature_83
FVGREEN                       -> feature_84
FVORANG                       -> feature_85
VEGETAB1                      -> feature_86
EXERANY2                      -> feature_87
EXRACT11                      -> feature_88
EXEROFT1                      -> feature_89
EXERHMM1                      -> feature_90
EXRACT21                      -> feature_91
EXEROFT2                      -> feature_92
EXERHMM2                      -> feature_93
STRENGTH                      -> feature_94
LMTJOIN3                      -> feature_95
ARTHDIS2                      -> feature_96
ARTHSOCL                      -> feature_97
JOINPAIN                      -> feature_98
SEATBELT                      -> feature_99
FLUSHOT6                      -> feature_100
FLSHTMY2                      -> feature_101
IMFVPLAC                      -> feature_102
PNEUVAC3                      -> feature_103
HIVTST6                       -> feature_104
HIVTSTD3                      -> feature_105
WHRTST10                      -> feature_106
PDIABTST                      -> feature_107
PREDIAB1                      -> feature_108
INSULIN                       -> feature_109
BLDSUGAR                      -> feature_110
FEETCHK2                      -> feature_111
DOCTDIAB                      -> feature_112
CHKHEMO3                      -> feature_113
FEETCHK                       -> feature_114
EYEEXAM                       -> feature_115
DIABEYE                       -> feature_116
DIABEDU                       -> feature_117
CAREGIV1                      -> feature_118
CRGVREL1                      -> feature_119
CRGVLNG1                      -> feature_120
CRGVHRS1                      -> feature_121
CRGVPRB1                      -> feature_122
CRGVPERS                      -> feature_123
CRGVHOUS                      -> feature_124
CRGVMST2                      -> feature_125
CRGVEXPT                      -> feature_126
VIDFCLT2                      -> feature_127
VIREDIF3                      -> feature_128
VIPRFVS2                      -> feature_129
VINOCRE2                      -> feature_130
VIEYEXM2                      -> feature_131
VIINSUR2                      -> feature_132
VICTRCT4                      -> feature_133
VIGLUMA2                      -> feature_134
VIMACDG2                      -> feature_135
CIMEMLOS                      -> feature_136
CDHOUSE                       -> feature_137
CDASSIST                      -> feature_138
CDHELP                        -> feature_139
CDSOCIAL                      -> feature_140
CDDISCUS                      -> feature_141
WTCHSALT                      -> feature_142
LONGWTCH                      -> feature_143
DRADVISE                      -> feature_144
ASTHMAGE                      -> feature_145
ASATTACK                      -> feature_146
ASERVIST                      -> feature_147
ASDRVIST                      -> feature_148
ASRCHKUP                      -> feature_149
ASACTLIM                      -> feature_150
ASYMPTOM                      -> feature_151
ASNOSLEP                      -> feature_152
ASTHMED3                      -> feature_153
ASINHALR                      -> feature_154
HAREHAB1                      -> feature_155
STREHAB1                      -> feature_156
CVDASPRN                      -> feature_157
ASPUNSAF                      -> feature_158
RLIVPAIN                      -> feature_159
RDUCHART                      -> feature_160
RDUCSTRK                      -> feature_161
ARTTODAY                      -> feature_162
ARTHWGT                       -> feature_163
ARTHEXER                      -> feature_164
ARTHEDU                       -> feature_165
TETANUS                       -> feature_166
HPVADVC2                      -> feature_167
HPVADSHT                      -> feature_168
SHINGLE2                      -> feature_169
HADMAM                        -> feature_170
HOWLONG                       -> feature_171
HADPAP2                       -> feature_172
LASTPAP2                      -> feature_173
HPVTEST                       -> feature_174
HPLSTTST                      -> feature_175
HADHYST2                      -> feature_176
PROFEXAM                      -> feature_177
LENGEXAM                      -> feature_178
BLDSTOOL                      -> feature_179
LSTBLDS3                      -> feature_180
HADSIGM3                      -> feature_181
HADSGCO1                      -> feature_182
LASTSIG3                      -> feature_183
PCPSAAD2                      -> feature_184
PCPSADI1                      -> feature_185
PCPSARE1                      -> feature_186
PSATEST1                      -> feature_187
PSATIME                       -> feature_188
PCPSARS1                      -> feature_189
PCPSADE1                      -> feature_190
PCDMDECN                      -> feature_191
SCNTMNY1                      -> feature_192
SCNTMEL1                      -> feature_193
SCNTPAID                      -> feature_194
SCNTWRK1                      -> feature_195
SCNTLPAD                      -> feature_196
SCNTLWK1                      -> feature_197
SXORIENT                      -> feature_198
TRNSGNDR                      -> feature_199
RCSGENDR                      -> feature_200
RCSRLTN2                      -> feature_201
CASTHDX2                      -> feature_202
CASTHNO2                      -> feature_203
EMTSUPRT                      -> feature_204
LSATISFY                      -> feature_205
ADPLEASR                      -> feature_206
ADDOWN                        -> feature_207
ADSLEEP                       -> feature_208
ADENERGY                      -> feature_209
ADEAT1                        -> feature_210
ADFAIL                        -> feature_211
ADTHINK                       -> feature_212
ADMOVE                        -> feature_213
MISTMNT                       -> feature_214
ADANXEV                       -> feature_215
QSTVER                        -> feature_216
QSTLANG                       -> feature_217
MSCODE                        -> feature_218
_STSTR                        -> feature_219
_STRWT                        -> feature_220
_RAWRAKE                      -> feature_221
_WT2RAKE                      -> feature_222
_CHISPNC                      -> feature_223
_CRACE1                       -> feature_224
_CPRACE                       -> feature_225
_CLLCPWT                      -> feature_226
_DUALUSE                      -> feature_227
_DUALCOR                      -> feature_228
_LLCPWT                       -> feature_229
_RFHLTH                       -> feature_230
_HCVU651                      -> feature_231
_RFHYPE5                      -> feature_232
_CHOLCHK                      -> feature_233
_RFCHOL                       -> feature_234
_LTASTH1                      -> feature_235
_CASTHM1                      -> feature_236
_ASTHMS1                      -> feature_237
_DRDXAR1                      -> feature_238
_PRACE1                       -> feature_239
_MRACE1                       -> feature_240
_HISPANC                      -> feature_241
_RACE                         -> feature_242
_RACEG21                      -> feature_243
_RACEGR3                      -> feature_244
_RACE_G1                      -> feature_245
_AGEG5YR                      -> feature_246
_AGE65YR                      -> feature_247
_AGE80                        -> feature_248
_AGE_G                        -> feature_249
HTIN4                         -> feature_250
HTM4                          -> feature_251
WTKG3                         -> feature_252
_BMI5                         -> feature_253
_BMI5CAT                      -> feature_254
_RFBMI5                       -> feature_255
_CHLDCNT                      -> feature_256
_EDUCAG                       -> feature_257
_INCOMG                       -> feature_258
_SMOKER3                      -> feature_259
_RFSMOK3                      -> feature_260
DRNKANY5                      -> feature_261
DROCDY3_                      -> feature_262
_RFBING5                      -> feature_263
_DRNKWEK                      -> feature_264
_RFDRHV5                      -> feature_265
FTJUDA1_                      -> feature_266
FRUTDA1_                      -> feature_267
BEANDAY_                      -> feature_268
GRENDAY_                      -> feature_269
ORNGDAY_                      -> feature_270
VEGEDA1_                      -> feature_271
_MISFRTN                      -> feature_272
_MISVEGN                      -> feature_273
_FRTRESP                      -> feature_274
_VEGRESP                      -> feature_275
_FRUTSUM                      -> feature_276
_VEGESUM                      -> feature_277
_FRTLT1                       -> feature_278
_VEGLT1                       -> feature_279
_FRT16                        -> feature_280
_VEG23                        -> feature_281
_FRUITEX                      -> feature_282
_VEGETEX                      -> feature_283
_TOTINDA                      -> feature_284
METVL11_                      -> feature_285
METVL21_                      -> feature_286
MAXVO2_                       -> feature_287
FC60_                         -> feature_288
ACTIN11_                      -> feature_289
ACTIN21_                      -> feature_290
PADUR1_                       -> feature_291
PADUR2_                       -> feature_292
PAFREQ1_                      -> feature_293
PAFREQ2_                      -> feature_294
_MINAC11                      -> feature_295
_MINAC21                      -> feature_296
STRFREQ_                      -> feature_297
PAMISS1_                      -> feature_298
PAMIN11_                      -> feature_299
PAMIN21_                      -> feature_300
PA1MIN_                       -> feature_301
PAVIG11_                      -> feature_302
PAVIG21_                      -> feature_303
PA1VIGM_                      -> feature_304
_PACAT1                       -> feature_305
_PAINDX1                      -> feature_306
_PA150R2                      -> feature_307
_PA300R2                      -> feature_308
_PA30021                      -> feature_309
_PASTRNG                      -> feature_310
_PAREC1                       -> feature_311
_PASTAE1                      -> feature_312
_LMTACT1                      -> feature_313
_LMTWRK1                      -> feature_314
_LMTSCL1                      -> feature_315
_RFSEAT2                      -> feature_316
_RFSEAT3                      -> feature_317
_FLSHOT6                      -> feature_318
_PNEUMO2                      -> feature_319
_AIDTST3                      -> feature_320
